date,rainfall
2015-08-15,0.3
2015-08-16,0.0
2015-08-17,0.7
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.2
2015-08-24,0.3
2015-08-25,0.0
2015-08-26,2.2
2015-08-27,0.0
2015-08-28,1.8
2015-08-29,5.4
2015-08-30,0.0
2015-08-31,0.6
2015-09-01,0.2
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,22.1
2015-09-10,16.3
2015-09-11,7.7
2015-09-12,0.0
2015-09-13,49.2
2015-09-14,1.5
2015-09-15,0.6
2015-09-16,21.8
2015-09-17,0.6
2015-09-18,9.4
2015-09-19,40.3
2015-09-20,4.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,2.1
2015-10-03,24.0
2015-10-04,9.2
2015-10-05,2.4
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,9.6
2015-10-12,29.3
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,0.1
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,1.8
2016-05-11,0.0
2016-05-12,3.7
2016-05-13,0.0
2016-05-14,1.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,4.0
2016-06-03,0.0
2016-06-04,0.2
2016-06-05,16.5
2016-06-06,14.5
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,1.7
2016-06-21,2.1
2016-06-22,2.2
2016-06-23,0.0
2016-06-24,4.7
2016-06-25,0.1
2016-06-26,2.1
2016-06-27,5.1
2016-06-28,0.2
2016-06-29,5.5
2016-06-30,0.1
2016-07-01,0.2
2016-07-02,12.0
2016-07-03,73.5
2016-07-04,42.9
2016-07-05,10.1
2016-07-06,5.1
2016-07-07,1.9
2016-07-08,3.5
2016-07-09,8.1
2016-07-10,17.5
2016-07-11,16.1
2016-07-12,13.0
2016-07-13,3.6
2016-07-14,1.3
2016-07-15,0.6
2016-07-16,0.5
2016-07-17,0.0
2016-07-18,0.8
2016-07-19,0.7
2016-07-20,0.6
2016-07-21,2.4
2016-07-22,0.0
2016-07-23,2.3
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.6
2016-07-28,0.2
2016-07-29,1.3
2016-07-30,2.0
2016-07-31,2.5
2016-08-01,6.0
2016-08-02,15.3
2016-08-03,39.6
2016-08-04,74.6
2016-08-05,2.9
2016-08-06,45.8
2016-08-07,1.7
2016-08-08,8.6
2016-08-09,4.5
2016-08-10,8.2
2016-08-11,7.7
2016-08-12,2.2
2016-08-13,0.0
2016-08-14,0.1
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.1
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.4
2016-08-23,1.8
2016-08-24,6.9
2016-08-25,3.4
2016-08-26,0.0
2016-08-27,0.4
2016-08-28,0.0
2016-08-29,0.3
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.4
2016-09-03,0.0
2016-09-04,1.4
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.1
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,4.3
2016-09-16,2.8
2016-09-17,10.1
2016-09-18,16.0
2016-09-19,3.3
2016-09-20,0.3
2016-09-21,2.6
2016-09-22,4.1
2016-09-23,2.2
2016-09-24,2.9
2016-09-25,2.1
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,5.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,31.6
2016-10-03,1.2
2016-10-04,0.9
2016-10-05,0.0
2016-10-06,0.7
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,11.9
2016-10-11,27.1
2016-10-12,7.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.2
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,1.7
2017-05-14,4.6
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
